report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2017-03-18,Dominican_Republic,country,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Distrito_Nacional,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Azua,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Baoruco,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Barahona,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Dajabon,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Duarte,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Elias_Pina,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-El_Seibo,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Espaillat,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Independencia,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-La_Altagracia,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-La_Romana,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-La_Vega,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Maria_Trinidad_Sanchez,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Monte_Cristi,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Pedernales,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Peravia,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Puerto_Plata,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Hermanas_Mirabal,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Samana,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-San_Cristobal,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-San_Juan,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-San_Pedro_de_Macoris,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Sanchez_Ramirez,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Santiago,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Santiago-Rodriguez,municipality,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Valverde,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Monsenor_Nouel,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Monte_Plata,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Hato_Mayor,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-San_Jose_de_Ocoa,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Santo_Domingo,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
2017-03-18,Dominican_Republic-Extranjera,province,microcephaly_confirmed_4weeks,DO0028,NA,NA,NA,cases
